epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.49517,1.18777,2.7524,1.23909,1,0.48277,0.87414,0.63841,0.83543,2.7272,0.95713,0.00035007,0.00035007,0.00035007
2,15.8375,1.07907,1.73259,1.12352,0.92031,0.62432,0.86132,0.55393,1.04083,2.4754,1.05702,0.000716635,0.000716635,0.000716635
3,22.9828,1.11785,1.61122,1.19083,1,0.09311,0.4218,0.26603,1.29476,3.36117,1.30079,0.00108249,0.00108249,0.00108249
4,30.1719,1.10802,1.47986,1.20283,0.74309,0.43243,0.5151,0.31344,1.1389,2.94973,1.23614,0.0014471,0.0014471,0.0014471
5,37.3065,1.14763,1.49431,1.22257,0.82462,0.44481,0.61089,0.37855,1.02659,2.83306,1.18949,0.00166049,0.00166049,0.00166049
6,44.4283,1.05204,1.27796,1.14106,0.34759,0.40541,0.28612,0.20685,0.81624,3.48997,1.00317,0.00165684,0.00165684,0.00165684
7,51.3804,1.05164,1.22592,1.1697,0.80062,0.7973,0.83892,0.65563,0.80927,1.50477,1.05812,0.00165238,0.00165238,0.00165238
8,58.4631,1.03726,1.14908,1.13725,0.95442,0.84897,0.93793,0.72373,0.8676,1.26938,1.14105,0.00164713,0.00164713,0.00164713
9,65.4608,1.07128,1.08684,1.18313,0.95388,0.85135,0.9341,0.73867,0.83049,1.20361,1.0782,0.00164108,0.00164108,0.00164108
10,72.4778,1.0497,1.0864,1.16988,0.92172,0.95478,0.97028,0.76795,0.80537,0.9311,1.03646,0.00163424,0.00163424,0.00163424
11,79.5751,1.00943,0.98672,1.1226,0.79335,0.83784,0.81847,0.59558,0.81408,1.12224,1.00399,0.00162661,0.00162661,0.00162661
12,86.7566,1.02905,1.01506,1.15427,0.99004,0.95946,0.9845,0.78683,0.76508,1.11141,1.00937,0.00161822,0.00161822,0.00161822
13,93.902,0.97707,0.93853,1.12919,0.98624,0.96883,0.98556,0.81206,0.70346,0.85096,0.96956,0.00160905,0.00160905,0.00160905
14,101.141,0.93757,0.86772,1.10619,0.98599,0.95143,0.98356,0.81215,0.64806,0.7142,0.94296,0.00159913,0.00159913,0.00159913
15,108.238,0.94201,0.90607,1.09978,0.94346,0.90206,0.95694,0.75104,0.69484,0.95087,0.95364,0.00158847,0.00158847,0.00158847
16,115.405,0.95379,0.85117,1.12878,0.98923,0.98649,0.98667,0.81818,0.6892,0.80995,0.97264,0.00157706,0.00157706,0.00157706
17,122.631,0.92785,0.82644,1.1245,0.97326,0.98649,0.98114,0.8092,0.68717,0.64031,0.9643,0.00156493,0.00156493,0.00156493
18,129.691,0.90181,0.77058,1.08929,0.97213,0.94284,0.98017,0.78326,0.76389,0.64717,1.01525,0.00155209,0.00155209,0.00155209
19,136.723,0.91101,0.77295,1.07658,0.97329,0.985,0.98231,0.83364,0.6528,0.60451,0.96214,0.00153854,0.00153854,0.00153854
20,143.776,0.94355,0.8179,1.09978,0.98642,0.98152,0.98325,0.79094,0.7216,0.64603,0.96745,0.00152431,0.00152431,0.00152431
21,150.785,0.91065,0.773,1.08959,0.98349,0.98649,0.98519,0.84196,0.60474,0.52128,0.93522,0.00150941,0.00150941,0.00150941
22,157.823,0.88689,0.71199,1.08271,0.99871,0.98649,0.98552,0.84626,0.59295,0.50547,0.93962,0.00149384,0.00149384,0.00149384
23,164.939,0.94893,0.73364,1.11335,0.96956,0.95946,0.98066,0.81439,0.63371,0.58402,0.95418,0.00147764,0.00147764,0.00147764
24,172.337,0.84942,0.69581,1.0574,0.97291,0.97055,0.98233,0.84875,0.60884,0.53091,0.96126,0.0014608,0.0014608,0.0014608
25,179.604,0.86006,0.66701,1.06115,0.99048,0.97297,0.98483,0.84184,0.58562,0.53085,0.92994,0.00144335,0.00144335,0.00144335
26,186.719,0.84193,0.65338,1.03275,0.99421,0.98649,0.9855,0.85735,0.60007,0.49234,0.91006,0.00142531,0.00142531,0.00142531
27,193.913,0.86255,0.65865,1.08801,0.99829,0.98649,0.9855,0.84238,0.59375,0.46424,0.93148,0.0014067,0.0014067,0.0014067
