epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,10959.4,0.929,5.22126,0.30516,0.66057,1.16888,0.95952,0.96234,0.98616,0.83415,0.85044,0.69768,0.72888,0.48778,0.71983,3.23616,0.06205,0.42263,1.00692,0.004852,0.004852,0.004852
28,11367.6,0.92533,5.19891,0.30328,0.6551,1.16938,0.96289,0.96362,0.98728,0.83514,0.83189,0.70569,0.7281,0.48749,0.71597,3.18932,0.06115,0.41897,1.00522,0.004654,0.004654,0.004654
29,11775.6,0.91053,5.11712,0.30446,0.64499,1.1637,0.96265,0.96382,0.98752,0.84264,0.83287,0.69758,0.73148,0.49415,0.70409,3.17473,0.0626,0.40924,0.99912,0.004456,0.004456,0.004456
30,12180.2,0.90922,5.09362,0.30206,0.63916,1.16151,0.96267,0.96443,0.98759,0.84131,0.83649,0.70774,0.73505,0.49697,0.70656,3.14918,0.05963,0.40946,1.00061,0.004258,0.004258,0.004258
31,12585.9,0.90446,5.06246,0.29942,0.63952,1.15768,0.96321,0.96644,0.98804,0.84088,0.82947,0.70902,0.72847,0.49498,0.7026,3.14578,0.06177,0.40935,0.99785,0.00406,0.00406,0.00406
32,12987.9,0.89836,5.03074,0.2973,0.63414,1.15507,0.96134,0.96492,0.98721,0.84434,0.84525,0.70338,0.73816,0.50196,0.69584,3.12618,0.06182,0.40511,0.9938,0.003862,0.003862,0.003862
33,13398.4,0.89409,4.9807,0.29708,0.62474,1.15291,0.95906,0.96644,0.98731,0.84563,0.84148,0.70761,0.73735,0.50536,0.69198,3.09013,0.0602,0.40337,0.99086,0.003664,0.003664,0.003664
34,13811.3,0.88547,4.92108,0.29477,0.6203,1.14848,0.96226,0.96376,0.98776,0.84669,0.84828,0.70799,0.74737,0.51109,0.68917,3.08184,0.05894,0.40015,0.98618,0.003466,0.003466,0.003466
35,14217,0.87046,4.82472,0.29104,0.60712,1.1411,0.96492,0.96324,0.9879,0.84924,0.82455,0.72771,0.75112,0.51401,0.68322,3.05838,0.05881,0.39219,0.98404,0.003268,0.003268,0.003268
36,14616.4,0.86455,4.82065,0.29076,0.60553,1.14076,0.96344,0.96119,0.98802,0.851,0.81921,0.7324,0.75042,0.51747,0.67964,3.03422,0.058,0.38829,0.98305,0.00307,0.00307,0.00307
37,15019.3,0.85844,4.77862,0.2902,0.59886,1.13803,0.96522,0.96309,0.98771,0.85312,0.81014,0.73899,0.75127,0.51801,0.67647,3.01794,0.05753,0.38544,0.98338,0.002872,0.002872,0.002872
38,15415.4,0.8539,4.73315,0.2853,0.59086,1.13307,0.96193,0.96388,0.98827,0.85356,0.84414,0.71517,0.75592,0.52582,0.67575,2.99551,0.05697,0.38229,0.9821,0.002674,0.002674,0.002674
39,15811.2,0.84793,4.66807,0.28538,0.58676,1.12831,0.96279,0.96426,0.98795,0.8555,0.84484,0.71761,0.75952,0.52738,0.67289,2.98047,0.05613,0.38138,0.98093,0.002476,0.002476,0.002476
40,16206.9,0.83996,4.57755,0.28218,0.58279,1.12654,0.96368,0.96286,0.98804,0.85626,0.84562,0.71767,0.76108,0.52965,0.66763,2.96424,0.05697,0.38167,0.97694,0.002278,0.002278,0.002278
41,16638.2,0.70579,3.54345,0.09246,0.44827,1.06868,0.96372,0.9663,0.98837,0.86209,0.82759,0.74436,0.769,0.5396,0.65536,2.91402,0.04594,0.37605,0.96953,0.00208,0.00208,0.00208
42,17033,0.68075,3.41477,0.08756,0.42547,1.05667,0.96233,0.9684,0.9889,0.86665,0.82832,0.75295,0.77812,0.55014,0.64191,2.85505,0.04056,0.36658,0.96101,0.001882,0.001882,0.001882
43,17429.2,0.6626,3.31939,0.08145,0.41303,1.04177,0.96319,0.9718,0.98911,0.87045,0.8346,0.76447,0.78876,0.55866,0.63172,2.80988,0.03764,0.36062,0.95499,0.001684,0.001684,0.001684
44,17832.2,0.65048,3.23954,0.08066,0.40301,1.03314,0.96458,0.96965,0.989,0.87355,0.83596,0.77164,0.79142,0.56361,0.62465,2.77036,0.03584,0.35644,0.95109,0.001486,0.001486,0.001486
45,18238.7,0.63594,3.15101,0.07791,0.38995,1.0251,0.9642,0.9728,0.98908,0.87622,0.84088,0.77152,0.79307,0.57028,0.6189,2.73792,0.03465,0.35132,0.94712,0.001288,0.001288,0.001288
46,18645.4,0.62412,3.09187,0.08011,0.38037,1.02004,0.9647,0.97336,0.98924,0.87727,0.84012,0.77396,0.79893,0.57465,0.61307,2.70827,0.03392,0.3471,0.94358,0.00109,0.00109,0.00109
47,19054,0.6085,3.03257,0.07692,0.36859,1.01262,0.96473,0.97399,0.98945,0.87916,0.84531,0.77766,0.80193,0.57893,0.60796,2.68005,0.03337,0.3429,0.94003,0.000892,0.000892,0.000892
48,19457.8,0.60062,2.95226,0.07651,0.35954,1.00618,0.96572,0.97411,0.98964,0.87994,0.8479,0.77856,0.80309,0.58267,0.60394,2.65616,0.03288,0.33919,0.93676,0.000694,0.000694,0.000694
49,19858,0.58804,2.90095,0.07398,0.35261,1.00038,0.9662,0.97396,0.9897,0.88122,0.84713,0.78099,0.80433,0.58577,0.60013,2.63667,0.03234,0.33571,0.93422,0.000496,0.000496,0.000496
50,20260,0.58147,2.85434,0.075,0.34656,0.99686,0.96749,0.97387,0.98993,0.88237,0.8485,0.78471,0.81052,0.58861,0.59711,2.6202,0.03191,0.33271,0.93217,0.000298,0.000298,0.000298
