epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,27.4897,0.80124,1.4534,1.15938,0.75535,0.38922,0.58746,0.44846,1.73783,2.27708,1.55922,2.82082e-05,2.82082e-05,2.82082e-05
40,28.1215,0.66186,1.15556,1.07052,0.75535,0.38922,0.58746,0.44846,1.73783,2.27708,1.55922,2.84911e-05,2.84911e-05,2.84911e-05
41,28.8026,0.86502,1.09574,1.30032,0.7553,0.389,0.4795,0.35809,1.71872,2.28537,1.52737,2.87504e-05,2.87504e-05,2.87504e-05
42,29.4316,0.70741,0.92212,1.08666,0.7553,0.389,0.4795,0.35809,1.71872,2.28537,1.52737,2.89861e-05,2.89861e-05,2.89861e-05
43,30.0999,0.94495,1.23998,1.33039,0.75392,0.3884,0.47962,0.35039,1.72502,2.32485,1.53544,2.91983e-05,2.91983e-05,2.91983e-05
44,30.7555,0.97259,1.50631,1.3698,0.75392,0.3884,0.47962,0.35039,1.72502,2.32485,1.53544,2.93869e-05,2.93869e-05,2.93869e-05
45,31.3876,0.73641,1.0467,1.09887,0.75208,0.38842,0.47766,0.36756,1.71155,2.34547,1.51872,2.9552e-05,2.9552e-05,2.9552e-05
46,32.0272,0.80025,1.14692,1.15182,0.75208,0.38842,0.47766,0.36756,1.71155,2.34547,1.51872,2.96935e-05,2.96935e-05,2.96935e-05
47,32.6824,0.71264,1.11527,1.2501,0.75064,0.38791,0.48017,0.36817,1.67785,2.29053,1.46789,2.98114e-05,2.98114e-05,2.98114e-05
48,33.2786,1.06557,1.64721,1.38107,0.75064,0.38791,0.48017,0.36817,1.67785,2.29053,1.46789,2.99058e-05,2.99058e-05,2.99058e-05
49,33.8842,0.66809,0.86876,1.11184,0.91576,0.38797,0.50783,0.37659,1.71812,2.34923,1.51263,2.99766e-05,2.99766e-05,2.99766e-05
50,34.529,1.11304,1.59209,1.46972,0.91576,0.38797,0.50783,0.37659,1.71812,2.34923,1.51263,3.00238e-05,3.00238e-05,3.00238e-05
51,35.1891,0.85482,0.95464,1.2175,0.91582,0.38915,0.50664,0.37462,1.71165,2.34093,1.50829,3.00475e-05,3.00475e-05,3.00475e-05
52,35.796,0.68571,1.03787,1.18434,0.91582,0.38915,0.50664,0.37462,1.71165,2.34093,1.50829,3.00476e-05,3.00476e-05,3.00476e-05
53,36.4071,1.07691,1.18939,1.43611,0.91582,0.38915,0.50664,0.37462,1.71165,2.34093,1.50829,3.00242e-05,3.00242e-05,3.00242e-05
54,37.0716,0.65339,0.78403,1.18501,0.91512,0.38945,0.47906,0.35007,1.72145,2.32944,1.50763,2.99772e-05,2.99772e-05,2.99772e-05
55,37.7221,0.8792,0.81922,1.50774,0.91512,0.38945,0.47906,0.35007,1.72145,2.32944,1.50763,2.99066e-05,2.99066e-05,2.99066e-05
56,38.3275,1.13075,1.24907,1.55747,0.91512,0.38945,0.47906,0.35007,1.72145,2.32944,1.50763,2.98125e-05,2.98125e-05,2.98125e-05
57,39.013,0.76941,0.94643,1.07541,0.91532,0.38996,0.48267,0.34387,1.71093,2.32276,1.48393,2.96948e-05,2.96948e-05,2.96948e-05
58,39.6592,0.97254,1.36898,1.4269,0.91532,0.38996,0.48267,0.34387,1.71093,2.32276,1.48393,2.95535e-05,2.95535e-05,2.95535e-05
59,40.2813,0.65368,0.83407,1.23926,0.91532,0.38996,0.48267,0.34387,1.71093,2.32276,1.48393,2.93887e-05,2.93887e-05,2.93887e-05
60,40.9286,0.8504,0.98614,1.20593,0.91316,0.39109,0.48353,0.35047,1.72594,2.33459,1.49905,2.92003e-05,2.92003e-05,2.92003e-05
61,41.5343,0.78613,0.92401,1.22848,0.91316,0.39109,0.48353,0.35047,1.72594,2.33459,1.49905,2.89884e-05,2.89884e-05,2.89884e-05
62,42.1727,0.75623,1.09231,1.07778,0.91316,0.39109,0.48353,0.35047,1.72594,2.33459,1.49905,2.87529e-05,2.87529e-05,2.87529e-05
63,42.8648,0.80457,1.18365,1.26174,0.91233,0.3934,0.45943,0.3292,1.7528,2.33097,1.5248,2.84938e-05,2.84938e-05,2.84938e-05
64,43.4853,0.88184,1.13312,1.42102,0.91233,0.3934,0.45943,0.3292,1.7528,2.33097,1.5248,2.82112e-05,2.82112e-05,2.82112e-05
65,44.1214,0.56638,1.10913,1.13198,0.91233,0.3934,0.45943,0.3292,1.7528,2.33097,1.5248,2.7905e-05,2.7905e-05,2.7905e-05
66,44.8217,0.78874,1.14198,1.30644,0.74481,0.39474,0.46976,0.3367,1.74395,2.34667,1.51119,2.75753e-05,2.75753e-05,2.75753e-05
67,45.5159,0.76986,0.79041,1.23675,0.74481,0.39474,0.46976,0.3367,1.74395,2.34667,1.51119,2.7222e-05,2.7222e-05,2.7222e-05
68,46.1428,0.79972,0.90319,1.10173,0.74481,0.39474,0.46976,0.3367,1.74395,2.34667,1.51119,2.68451e-05,2.68451e-05,2.68451e-05
