epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1265.49,1.38312,0.57424,1.02067,0.99726,0.97205,0.9893,0.64307,1.43533,0.52515,1.05308,0.00107205,0.00107205,0.00107205
43,1292.59,1.40141,0.58049,1.02227,0.99793,0.97379,0.99078,0.64483,1.42133,0.55673,1.0536,0.00104705,0.00104705,0.00104705
44,1320.05,1.41317,0.58408,1.0279,0.99795,0.97292,0.99076,0.63556,1.43008,0.54064,1.05465,0.00102184,0.00102184,0.00102184
45,1347.61,1.38594,0.56793,1.01377,0.99821,0.97292,0.99041,0.65152,1.40898,0.52376,1.04383,0.000996456,0.000996456,0.000996456
46,1388.51,1.38082,0.56217,1.01883,0.99786,0.97292,0.99241,0.65015,1.41799,0.53287,1.05049,0.000970919,0.000970919,0.000970919
47,1415.47,1.39747,0.56332,1.0262,0.9981,0.97292,0.99047,0.64308,1.43886,0.51307,1.0596,0.000945256,0.000945256,0.000945256
48,1443.24,1.3881,0.56312,1.01965,0.99811,0.97292,0.98887,0.64312,1.42883,0.52543,1.05128,0.00091949,0.00091949,0.00091949
49,1471.2,1.39251,0.55948,1.02202,0.99791,0.97292,0.9907,0.65501,1.41068,0.50687,1.04678,0.000893648,0.000893648,0.000893648
50,1499.11,1.38642,0.55557,1.01477,0.99736,0.97205,0.98965,0.64567,1.43539,0.52312,1.0543,0.000867754,0.000867754,0.000867754
51,1526.25,1.40238,0.55691,1.02225,0.99813,0.97292,0.9912,0.647,1.42148,0.52217,1.04766,0.000841835,0.000841835,0.000841835
52,1560.62,1.39749,0.55612,1.01037,0.99864,0.97379,0.98868,0.64769,1.42288,0.51951,1.04956,0.000815916,0.000815916,0.000815916
53,1591.46,1.36737,0.54366,1.01199,0.99802,0.97292,0.98974,0.63524,1.45051,0.52671,1.05994,0.000790022,0.000790022,0.000790022
54,1620.55,1.36446,0.55172,0.99709,0.99881,0.97379,0.99203,0.65007,1.4278,0.51972,1.05544,0.00076418,0.00076418,0.00076418
55,1646.25,1.37892,0.553,1.01056,0.99746,0.97528,0.99186,0.64539,1.44312,0.51923,1.05849,0.000738414,0.000738414,0.000738414
56,1673.41,1.3641,0.54833,1.00736,0.9983,0.97608,0.98961,0.64337,1.41952,0.50835,1.05103,0.000712751,0.000712751,0.000712751
57,1701,1.38091,0.55543,1.00785,0.99735,0.97205,0.98978,0.65127,1.41452,0.51258,1.04487,0.000687214,0.000687214,0.000687214
58,1728.77,1.3677,0.54858,1.02092,0.99883,0.97379,0.99075,0.64864,1.42951,0.52134,1.04874,0.000661831,0.000661831,0.000661831
59,1756.97,1.36704,0.54724,1.00565,0.99834,0.97562,0.99219,0.64854,1.44264,0.5103,1.0514,0.000636625,0.000636625,0.000636625
60,1785.14,1.36682,0.54509,1.00393,0.99799,0.97292,0.9908,0.652,1.41054,0.51119,1.04138,0.000611621,0.000611621,0.000611621
61,1816.17,1.35263,0.53641,1.00354,0.99833,0.9761,0.9917,0.65269,1.40939,0.51181,1.04232,0.000586845,0.000586845,0.000586845
62,1845.41,1.38504,0.55621,1.0199,0.99812,0.97292,0.99208,0.65401,1.41935,0.51419,1.04527,0.00056232,0.00056232,0.00056232
63,1872.54,1.38543,0.54728,1.00554,0.99901,0.97379,0.99178,0.64843,1.41626,0.51112,1.04635,0.000538072,0.000538072,0.000538072
64,1900.32,1.35315,0.5406,1.00498,0.99834,0.97613,0.99058,0.64797,1.41958,0.5051,1.04763,0.000514122,0.000514122,0.000514122
65,1928.46,1.34459,0.52556,0.99588,0.99827,0.97292,0.99042,0.65262,1.41907,0.49977,1.04175,0.000490497,0.000490497,0.000490497
66,1958.02,1.33689,0.52831,0.99949,0.99917,0.97673,0.99035,0.65042,1.42432,0.50073,1.04356,0.000467218,0.000467218,0.000467218
67,1984.39,1.35472,0.53509,1.01538,0.99819,0.97292,0.99058,0.65427,1.41353,0.49409,1.04199,0.000444309,0.000444309,0.000444309
68,2012.32,1.34966,0.52533,1.00359,0.99811,0.97292,0.99258,0.65129,1.40965,0.50599,1.04136,0.000421792,0.000421792,0.000421792
69,2039.8,1.34678,0.5238,1.00685,0.99821,0.97292,0.9911,0.65316,1.41179,0.5005,1.04136,0.000399689,0.000399689,0.000399689
70,2067.23,1.36009,0.54317,1.00746,0.99817,0.97292,0.99117,0.65717,1.41924,0.49345,1.04065,0.000378023,0.000378023,0.000378023
71,2093.97,1.33595,0.51152,1.00065,0.99832,0.97576,0.99249,0.65369,1.42311,0.49212,1.04294,0.000356815,0.000356815,0.000356815
72,2121.21,1.34351,0.52078,1.00243,0.9989,0.97379,0.99283,0.65957,1.41595,0.49091,1.04182,0.000336086,0.000336086,0.000336086
73,2152.54,1.35092,0.51323,1.00711,0.99831,0.97609,0.99178,0.65486,1.42213,0.49209,1.043,0.000315855,0.000315855,0.000315855
74,2182.53,1.32759,0.51253,1.00313,0.99894,0.97379,0.99123,0.66053,1.41906,0.48577,1.04077,0.000296144,0.000296144,0.000296144
75,2209.96,1.31635,0.50436,0.99781,0.99822,0.97292,0.99189,0.65784,1.41702,0.48473,1.03959,0.000276971,0.000276971,0.000276971
