epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,858.641,1.49329,0.62976,1.03252,0.99846,0.98022,0.99186,0.6283,1.45405,0.57021,1.02098,0.00107205,0.00107205,0.00107205
43,878.826,1.49072,0.62765,1.01801,0.99934,0.98022,0.99218,0.62387,1.48341,0.58119,1.03361,0.00104705,0.00104705,0.00104705
44,898.871,1.47566,0.64401,1.01666,0.98042,0.98022,0.97341,0.59223,1.48429,0.60721,1.03083,0.00102184,0.00102184,0.00102184
45,918.789,1.45716,0.63003,1.00935,0.99806,0.97919,0.99225,0.62342,1.47707,0.55841,1.02451,0.000996456,0.000996456,0.000996456
46,938.735,1.47707,0.62207,1.0134,0.99455,0.97611,0.98799,0.62183,1.46325,0.57801,1.02546,0.000970919,0.000970919,0.000970919
47,958.726,1.4797,0.62195,1.01454,0.99874,0.98022,0.99125,0.62177,1.47523,0.56603,1.02229,0.000945256,0.000945256,0.000945256
48,978.949,1.46618,0.62047,1.01359,0.99765,0.97919,0.99071,0.62456,1.43971,0.58374,1.01783,0.00091949,0.00091949,0.00091949
49,998.998,1.49081,0.62011,1.01809,0.99733,0.97919,0.99115,0.62181,1.4548,0.57569,1.02027,0.000893648,0.000893648,0.000893648
50,1019,1.46286,0.61577,1.00856,0.99687,0.97816,0.99046,0.61878,1.47144,0.55647,1.02051,0.000867754,0.000867754,0.000867754
51,1038.93,1.46989,0.6047,1.0208,0.99786,0.97919,0.991,0.62684,1.45833,0.56738,1.02075,0.000841835,0.000841835,0.000841835
52,1059.03,1.45361,0.60911,1.01686,0.99723,0.97919,0.99181,0.63716,1.43776,0.56344,1.01466,0.000815916,0.000815916,0.000815916
53,1079.16,1.46423,0.62379,0.9947,0.99787,0.97919,0.99201,0.6328,1.46651,0.558,1.02077,0.000790022,0.000790022,0.000790022
54,1099.19,1.4547,0.59263,1.00067,0.99795,0.97919,0.99154,0.63417,1.45156,0.56008,1.01731,0.00076418,0.00076418,0.00076418
55,1119.2,1.42792,0.59167,0.99574,0.99051,0.98022,0.98489,0.62318,1.45654,0.56271,1.01329,0.000738414,0.000738414,0.000738414
56,1139.25,1.44922,0.60179,0.9993,0.99669,0.97919,0.99078,0.63421,1.46148,0.55155,1.01594,0.000712751,0.000712751,0.000712751
57,1159.25,1.4541,0.59531,1.01056,0.99893,0.98022,0.99093,0.638,1.43436,0.565,1.01002,0.000687214,0.000687214,0.000687214
58,1179.34,1.43071,0.59168,0.99601,0.99781,0.97919,0.9914,0.63367,1.44855,0.54668,1.01334,0.000661831,0.000661831,0.000661831
59,1199.33,1.45321,0.60518,1.01472,0.99156,0.97919,0.98546,0.6271,1.44698,0.55843,1.01331,0.000636625,0.000636625,0.000636625
60,1219.38,1.4425,0.58594,1.01363,0.99763,0.97919,0.99179,0.63863,1.44115,0.54549,1.01239,0.000611621,0.000611621,0.000611621
61,1239.53,1.43992,0.59894,0.99506,0.99914,0.98022,0.9924,0.63666,1.43726,0.53564,1.01197,0.000586845,0.000586845,0.000586845
62,1259.66,1.43921,0.58755,1.00182,0.99816,0.97919,0.99155,0.63857,1.4433,0.54275,1.01437,0.00056232,0.00056232,0.00056232
63,1279.65,1.43307,0.58269,1.00276,0.99794,0.97919,0.9919,0.63407,1.43054,0.55206,1.01219,0.000538072,0.000538072,0.000538072
64,1299.65,1.4103,0.57471,0.9914,0.99817,0.97919,0.99217,0.63473,1.45389,0.54641,1.01661,0.000514122,0.000514122,0.000514122
65,1319.83,1.41118,0.55973,0.99372,0.99813,0.97919,0.9914,0.63812,1.44908,0.5346,1.01511,0.000490497,0.000490497,0.000490497
66,1340.36,1.41594,0.56938,1.00424,0.98811,0.97919,0.98225,0.63409,1.45468,0.53845,1.01306,0.000467218,0.000467218,0.000467218
67,1360.66,1.41563,0.56531,0.99484,0.99784,0.97919,0.99278,0.64434,1.4432,0.52196,1.01097,0.000444309,0.000444309,0.000444309
