epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,8922.05,0.88666,4.139,0.27631,0.57303,1.14979,0.96966,0.97003,0.98873,0.787,0.84684,0.79596,0.81269,0.58338,0.9104,2.57172,0.05975,0.41093,1.09017,0.00843851,0.00843851,0.00843851
28,9265.32,0.88235,4.15123,0.27727,0.5773,1.1503,0.97082,0.96952,0.9889,0.78826,0.85409,0.79465,0.80762,0.57696,0.898,2.57013,0.05923,0.40792,1.08192,0.00832349,0.00832349,0.00832349
29,9594.27,0.88736,4.14512,0.27524,0.57746,1.14932,0.97127,0.97067,0.98939,0.79179,0.85664,0.79431,0.81206,0.58085,0.88655,2.54733,0.05865,0.4022,1.07732,0.00820525,0.00820525,0.00820525
30,9918.15,0.87571,4.12743,0.27673,0.5681,1.14519,0.96909,0.9708,0.98884,0.79037,0.86092,0.79022,0.81266,0.58438,0.90351,2.5445,0.05807,0.40727,1.08557,0.00808389,0.00808389,0.00808389
31,10244.3,0.88104,4.10775,0.2743,0.57249,1.14944,0.97082,0.96837,0.98908,0.79053,0.85621,0.79997,0.81619,0.58481,0.90136,2.53307,0.0569,0.40642,1.08283,0.00795954,0.00795954,0.00795954
32,10566.3,0.8736,4.09401,0.27492,0.56752,1.14249,0.97023,0.97067,0.98927,0.79008,0.85854,0.79931,0.8142,0.58224,0.89348,2.53439,0.05757,0.40407,1.07954,0.00783231,0.00783231,0.00783231
33,10893.4,0.87694,4.10872,0.27425,0.57006,1.14712,0.97128,0.97221,0.98926,0.78872,0.85898,0.79806,0.81434,0.58459,0.90416,2.52,0.05641,0.40578,1.08584,0.00770234,0.00770234,0.00770234
34,11218.7,0.87481,4.09344,0.27559,0.56968,1.14674,0.97168,0.97336,0.9894,0.79389,0.86155,0.79858,0.81502,0.58585,0.88209,2.51852,0.05727,0.40031,1.07417,0.00756976,0.00756976,0.00756976
35,11544.6,0.87174,4.04628,0.27162,0.56375,1.14404,0.97074,0.97387,0.98959,0.79498,0.86166,0.80012,0.81953,0.59238,0.88784,2.5164,0.05619,0.3994,1.07355,0.00743468,0.00743468,0.00743468
36,11871.2,0.87451,4.04939,0.27082,0.57017,1.1449,0.97011,0.97387,0.98961,0.79235,0.86017,0.79888,0.81719,0.58905,0.89155,2.51,0.05635,0.39968,1.07702,0.00729725,0.00729725,0.00729725
37,12160.1,0.87436,4.03636,0.27005,0.56752,1.14433,0.97196,0.97207,0.98932,0.79189,0.86216,0.79956,0.81669,0.58974,0.89312,2.50106,0.05518,0.39965,1.07851,0.00715761,0.00715761,0.00715761
38,12448.2,0.86836,4.00059,0.2689,0.56386,1.14092,0.97209,0.97195,0.9894,0.79374,0.85844,0.80597,0.8207,0.59387,0.89246,2.49851,0.05609,0.39884,1.07815,0.00701588,0.00701588,0.00701588
39,12738.5,0.86824,4.02819,0.26716,0.56792,1.14071,0.97135,0.97118,0.98925,0.79252,0.86001,0.80418,0.82167,0.59459,0.89697,2.49125,0.05564,0.40122,1.0808,0.00687222,0.00687222,0.00687222
40,13040.4,0.86629,4.02543,0.2681,0.56536,1.13997,0.97158,0.97194,0.98929,0.79327,0.85786,0.80507,0.81978,0.59337,0.89144,2.48748,0.05629,0.40006,1.07849,0.00672675,0.00672675,0.00672675
41,13336.1,0.86693,4.00914,0.26904,0.56092,1.13896,0.97024,0.97208,0.98927,0.79413,0.86064,0.80438,0.8207,0.59229,0.8883,2.48234,0.05551,0.40007,1.07718,0.00657963,0.00657963,0.00657963
42,13632.8,0.86941,3.98151,0.26446,0.56338,1.13906,0.97052,0.97195,0.98922,0.79412,0.85806,0.80571,0.81874,0.59246,0.88951,2.48018,0.05484,0.39853,1.0777,0.00643101,0.00643101,0.00643101
43,13921.1,0.87051,3.98677,0.26606,0.56402,1.144,0.97093,0.97089,0.98912,0.79447,0.85668,0.80533,0.81837,0.59484,0.88952,2.47815,0.05468,0.39757,1.07683,0.00628101,0.00628101,0.00628101
44,14212.2,0.86793,4.00445,0.26637,0.56324,1.14191,0.97027,0.97221,0.9892,0.7949,0.85835,0.80789,0.82081,0.59532,0.8893,2.47326,0.05441,0.39695,1.077,0.00612981,0.00612981,0.00612981
45,14501.3,0.86042,3.94723,0.26396,0.56221,1.13854,0.97069,0.97106,0.98917,0.79381,0.86066,0.8053,0.82122,0.59633,0.89472,2.47031,0.05423,0.39731,1.07949,0.00597754,0.00597754,0.00597754
46,14791.7,0.86422,3.91704,0.26093,0.5611,1.13923,0.9717,0.97106,0.98923,0.79465,0.86538,0.80355,0.82365,0.59898,0.8936,2.46737,0.05401,0.39617,1.07834,0.00582435,0.00582435,0.00582435
47,15080.5,0.86741,3.96762,0.26153,0.56402,1.14122,0.97229,0.97085,0.98917,0.79407,0.86525,0.80261,0.82386,0.59951,0.89296,2.46598,0.0537,0.39588,1.07828,0.0056704,0.0056704,0.0056704
48,15370.5,0.86259,3.92786,0.26272,0.5587,1.13942,0.97163,0.97131,0.9892,0.79391,0.86604,0.80314,0.82475,0.60012,0.89379,2.46075,0.05346,0.39644,1.07856,0.00551584,0.00551584,0.00551584
49,15659.4,0.86025,3.91609,0.26107,0.55999,1.13865,0.97133,0.97205,0.98911,0.79366,0.86637,0.80296,0.82432,0.6001,0.89602,2.45402,0.05288,0.39677,1.07941,0.00536081,0.00536081,0.00536081
50,15948.8,0.86052,3.9127,0.26055,0.55651,1.1361,0.97184,0.97234,0.9892,0.79337,0.86902,0.802,0.82514,0.59976,0.89527,2.4503,0.0528,0.39632,1.07921,0.00520548,0.00520548,0.00520548
51,16245.8,0.86135,3.90054,0.26041,0.55979,1.13822,0.97221,0.97231,0.98919,0.79427,0.86944,0.80254,0.82553,0.6003,0.89343,2.44705,0.0527,0.39588,1.0782,0.00505,0.00505,0.00505
52,16543.8,0.85538,3.84032,0.26009,0.55121,1.13514,0.97164,0.97234,0.98922,0.79494,0.86959,0.8028,0.82438,0.60113,0.89279,2.44368,0.05256,0.39575,1.0781,0.00489452,0.00489452,0.00489452
53,16835.8,0.8553,3.82645,0.25874,0.55464,1.13458,0.97134,0.97221,0.98923,0.7953,0.86922,0.80359,0.82642,0.60135,0.89234,2.43897,0.05247,0.39528,1.07807,0.00473919,0.00473919,0.00473919
54,17133.5,0.8606,3.77125,0.25977,0.55589,1.13944,0.97079,0.97221,0.98917,0.79547,0.86751,0.80546,0.82669,0.60168,0.89228,2.43169,0.05238,0.39547,1.07779,0.00458416,0.00458416,0.00458416
55,17428.5,0.85346,3.71593,0.25807,0.5515,1.13525,0.97105,0.97246,0.98924,0.79562,0.8619,0.80971,0.8268,0.60171,0.89208,2.42403,0.05211,0.39517,1.07749,0.0044296,0.0044296,0.0044296
56,17722.2,0.85341,3.72056,0.25865,0.55387,1.13567,0.97147,0.97252,0.98912,0.79532,0.86251,0.80968,0.82707,0.60182,0.89221,2.41602,0.05196,0.39506,1.07762,0.00427565,0.00427565,0.00427565
57,18020.1,0.85077,3.69001,0.25639,0.55103,1.13416,0.97139,0.97246,0.9892,0.79528,0.86253,0.80917,0.82715,0.60278,0.89234,2.40657,0.05188,0.39505,1.07776,0.00412246,0.00412246,0.00412246
58,18318.3,0.84846,3.71966,0.25755,0.55129,1.13418,0.97147,0.97243,0.98916,0.79542,0.86447,0.80871,0.82722,0.60329,0.89203,2.39598,0.05174,0.39504,1.07749,0.00397019,0.00397019,0.00397019
59,18624.1,0.85199,3.69372,0.25434,0.55131,1.13377,0.97172,0.97208,0.98931,0.79555,0.86379,0.80975,0.82751,0.60412,0.89201,2.38509,0.05157,0.39495,1.07734,0.00381899,0.00381899,0.00381899
