epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1742.91,1.41976,0.58436,1.02697,0.99345,0.97947,0.98728,0.60673,1.44284,0.537,1.05506,0.00107205,0.00107205,0.00107205
43,1783.94,1.41671,0.58003,1.02401,0.99581,0.98161,0.98883,0.60232,1.44904,0.53579,1.05775,0.00104705,0.00104705,0.00104705
44,1825.67,1.40763,0.57477,1.01999,0.99642,0.9824,0.98866,0.5951,1.46607,0.53847,1.06121,0.00102184,0.00102184,0.00102184
45,1875.01,1.41446,0.58507,1.02827,0.99511,0.98106,0.98983,0.60307,1.45571,0.55214,1.05926,0.000996456,0.000996456,0.000996456
46,1926.13,1.41165,0.57856,1.01786,0.99363,0.97947,0.98846,0.61184,1.46183,0.52797,1.06019,0.000970919,0.000970919,0.000970919
47,1967.68,1.40283,0.57886,1.02065,0.9935,0.97947,0.98894,0.60685,1.46549,0.53794,1.06246,0.000945256,0.000945256,0.000945256
48,2007.95,1.39761,0.57617,1.01612,0.99363,0.97972,0.98773,0.5989,1.46361,0.53012,1.06412,0.00091949,0.00091949,0.00091949
49,2058.16,1.40758,0.57189,1.02192,0.99375,0.97972,0.98752,0.60852,1.45477,0.53019,1.05843,0.000893648,0.000893648,0.000893648
50,2097.3,1.38732,0.56695,1.01297,0.99567,0.98161,0.98903,0.59952,1.47377,0.52486,1.06743,0.000867754,0.000867754,0.000867754
51,2144.57,1.3969,0.56426,1.01639,0.99432,0.98027,0.98893,0.60168,1.45628,0.52013,1.06032,0.000841835,0.000841835,0.000841835
52,2186.6,1.4033,0.56617,1.02689,0.99429,0.98027,0.98992,0.61287,1.45457,0.51802,1.0565,0.000815916,0.000815916,0.000815916
53,2226.27,1.39954,0.55624,1.01339,0.9944,0.98027,0.98856,0.60644,1.46471,0.52058,1.06092,0.000790022,0.000790022,0.000790022
54,2265.82,1.38653,0.56522,1.01458,0.99567,0.98161,0.99009,0.60953,1.45993,0.51717,1.05747,0.00076418,0.00076418,0.00076418
55,2315.05,1.40362,0.57352,1.02334,0.99563,0.98161,0.98956,0.60641,1.45246,0.52656,1.05654,0.000738414,0.000738414,0.000738414
56,2364.91,1.39029,0.56153,1.00491,0.99618,0.9824,0.99009,0.61214,1.44051,0.52209,1.05326,0.000712751,0.000712751,0.000712751
57,2407.4,1.39339,0.55139,1.01927,0.99661,0.9824,0.99101,0.61051,1.45877,0.51736,1.05956,0.000687214,0.000687214,0.000687214
58,2447.11,1.37928,0.55366,1.01558,0.9928,0.97947,0.98859,0.60548,1.45186,0.51566,1.05867,0.000661831,0.000661831,0.000661831
59,2486.73,1.38695,0.55896,1.00829,0.99424,0.98027,0.99011,0.60271,1.47235,0.52065,1.06305,0.000636625,0.000636625,0.000636625
60,2528.46,1.37413,0.55379,1.00476,0.99201,0.97789,0.98792,0.60967,1.45613,0.51269,1.05631,0.000611621,0.000611621,0.000611621
61,2571.58,1.38403,0.55189,1.01216,0.99509,0.98106,0.99084,0.60731,1.45908,0.51388,1.05648,0.000586845,0.000586845,0.000586845
62,2612.64,1.39263,0.55423,1.01979,0.99355,0.97947,0.98891,0.61401,1.43894,0.50689,1.05056,0.00056232,0.00056232,0.00056232
63,2652.36,1.36924,0.54653,1.00061,0.99292,0.97893,0.98905,0.60496,1.44896,0.51433,1.0568,0.000538072,0.000538072,0.000538072
64,2692.03,1.36982,0.54204,1.00747,0.99282,0.97868,0.98674,0.60354,1.45139,0.52423,1.05366,0.000514122,0.000514122,0.000514122
65,2731.74,1.36497,0.53625,1.00542,0.99249,0.97845,0.98935,0.61101,1.45051,0.50651,1.05352,0.000490497,0.000490497,0.000490497
66,2774.94,1.39135,0.54481,1.01172,0.99066,0.97655,0.98674,0.61405,1.44429,0.50341,1.05254,0.000467218,0.000467218,0.000467218
67,2815.42,1.36409,0.53212,1.0124,0.99203,0.97789,0.98782,0.61448,1.44517,0.5032,1.05251,0.000444309,0.000444309,0.000444309
68,2853.29,1.35898,0.53333,1.00739,0.99442,0.98027,0.98946,0.60731,1.45567,0.50423,1.05745,0.000421792,0.000421792,0.000421792
69,2890.88,1.3447,0.53447,0.99738,0.99304,0.97893,0.99022,0.61371,1.44927,0.50213,1.05177,0.000399689,0.000399689,0.000399689
70,2928.51,1.36602,0.54341,1.0037,0.99437,0.98027,0.98858,0.61047,1.45017,0.50608,1.05359,0.000378023,0.000378023,0.000378023
71,2971.39,1.35201,0.5292,0.99442,0.99524,0.98106,0.99062,0.61039,1.45443,0.50555,1.05435,0.000356815,0.000356815,0.000356815
72,3011.6,1.34246,0.52932,0.99602,0.9936,0.97947,0.98926,0.60996,1.45665,0.50142,1.05523,0.000336086,0.000336086,0.000336086
73,3053.3,1.36582,0.52873,1.0099,0.9936,0.97947,0.98801,0.60885,1.46067,0.50136,1.05534,0.000315855,0.000315855,0.000315855
74,3091.42,1.37124,0.52912,0.9969,0.99439,0.98027,0.98966,0.61156,1.45173,0.50081,1.05201,0.000296144,0.000296144,0.000296144
75,3129.48,1.33648,0.51715,0.99105,0.99435,0.98027,0.98891,0.61402,1.45447,0.49847,1.05304,0.000276971,0.000276971,0.000276971
76,3167.52,1.34627,0.52323,1.00347,0.99578,0.98161,0.99085,0.61547,1.45062,0.49308,1.05163,0.000258355,0.000258355,0.000258355
77,3205.04,1.34987,0.51761,1,0.99524,0.98106,0.98945,0.61166,1.45106,0.49388,1.04999,0.000240316,0.000240316,0.000240316
78,3249.65,1.33603,0.5204,0.99977,0.99573,0.98161,0.99035,0.61183,1.44728,0.49826,1.049,0.00022287,0.00022287,0.00022287
79,3287.44,1.3195,0.51971,0.99233,0.99734,0.98319,0.99258,0.61396,1.45546,0.49958,1.05117,0.000206034,0.000206034,0.000206034
80,3325.53,1.35345,0.5164,0.9998,0.99736,0.98319,0.99235,0.61317,1.4504,0.48845,1.05235,0.000189827,0.000189827,0.000189827
81,3363.22,1.32889,0.51296,0.99256,0.99659,0.9824,0.99074,0.61527,1.4451,0.49019,1.0491,0.000174262,0.000174262,0.000174262
82,3401.36,1.33241,0.51151,0.99815,0.99591,0.98185,0.99207,0.61842,1.44843,0.4913,1.04962,0.000159357,0.000159357,0.000159357
83,3438.9,1.33115,0.51625,0.99767,0.99737,0.98319,0.99239,0.61398,1.45112,0.49149,1.05031,0.000145125,0.000145125,0.000145125
84,3480.06,1.33623,0.50697,0.99565,0.99577,0.98161,0.99046,0.61432,1.45175,0.49023,1.05032,0.000131581,0.000131581,0.000131581
85,3517.85,1.32833,0.5175,0.99318,0.9952,0.98106,0.9912,0.61549,1.44843,0.48728,1.04977,0.000118737,0.000118737,0.000118737
86,3556.03,1.32741,0.5101,0.99023,0.99579,0.98161,0.99077,0.61507,1.44621,0.48701,1.04921,0.000106608,0.000106608,0.000106608
87,3593.72,1.34295,0.50593,1.00729,0.99445,0.98027,0.99045,0.61698,1.4494,0.48569,1.04968,9.52034e-05,9.52034e-05,9.52034e-05
88,3631.83,1.32235,0.50464,0.99737,0.99519,0.98106,0.99102,0.61709,1.44247,0.48342,1.04831,8.4536e-05,8.4536e-05,8.4536e-05
89,3669.46,1.32676,0.51082,0.99128,0.99523,0.98106,0.99104,0.61757,1.44297,0.48304,1.04924,7.4616e-05,7.4616e-05,7.4616e-05
90,3707.99,1.31436,0.50197,0.99139,0.9952,0.98106,0.99118,0.61749,1.44807,0.48477,1.05044,6.54531e-05,6.54531e-05,6.54531e-05
91,3766.08,1.34348,0.47781,1.04719,0.99438,0.98027,0.99009,0.61598,1.44934,0.48269,1.04998,5.70564e-05,5.70564e-05,5.70564e-05
92,3805.77,1.34533,0.47569,1.04798,0.9944,0.98027,0.98995,0.61607,1.4491,0.4832,1.04962,4.94343e-05,4.94343e-05,4.94343e-05
93,3844.38,1.34649,0.47757,1.04788,0.99657,0.9824,0.99091,0.61609,1.44901,0.48353,1.05005,4.25941e-05,4.25941e-05,4.25941e-05
94,3882.39,1.34061,0.47237,1.04509,0.99654,0.9824,0.99114,0.6155,1.44734,0.4823,1.04922,3.65426e-05,3.65426e-05,3.65426e-05
95,3921.24,1.33875,0.47616,1.03664,0.99656,0.9824,0.99131,0.61511,1.44713,0.4839,1.0486,3.12859e-05,3.12859e-05,3.12859e-05
96,3965.81,1.33861,0.4748,1.03936,0.99517,0.98106,0.99074,0.61381,1.44988,0.48332,1.04902,2.68292e-05,2.68292e-05,2.68292e-05
97,4007.86,1.33032,0.47312,1.04123,0.99518,0.98106,0.99063,0.61648,1.44711,0.48292,1.04853,2.31767e-05,2.31767e-05,2.31767e-05
98,4055.41,1.33256,0.47642,1.04223,0.99439,0.98027,0.99023,0.61527,1.44633,0.48394,1.04827,2.03321e-05,2.03321e-05,2.03321e-05
99,4097.26,1.33604,0.47623,1.03996,0.99516,0.98106,0.99077,0.61568,1.44561,0.48192,1.04837,1.82983e-05,1.82983e-05,1.82983e-05
100,4138.93,1.33637,0.47428,1.03461,0.99516,0.98106,0.99073,0.6155,1.44431,0.48094,1.04783,1.70772e-05,1.70772e-05,1.70772e-05
